Amount,TransactionSigner,TransactionSignature,BlockTimestampIso8601,CurrencyAddress,CurrencyDecimals
551.754815,23iubjusdbMgZnBpiwi9HcRZRGzNbwaVH8eACjquef9w,4sVR4RzwAUsuZ7csd94jQjp4YmiugTWRYKrcN3DFDgLpde6ibRXjsVby5LPK6UUoYhRbqHi2MRX2b5RS25KABwef,2022-04-28T04:48:42Z,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,6
538.810916,23iubjusdbMgZnBpiwi9HcRZRGzNbwaVH8eACjquef9w,4sVR4RzwAUsuZ7csd94jQjp4YmiugTWRYKrcN3DFDgLpde6ibRXjsVby5LPK6UUoYhRbqHi2MRX2b5RS25KABwef,2022-04-28T04:48:42Z,nZtL8HKX3aQtk3VpdvtdwPpXF2uMia522Pnan2meqdf,6
4781.347451,2HVn5HX2tkpNFcNs8uCSaEL8rC627bz4TUoNvyVnG9uK,5v1abPWUFpj7bgvfj7zrZDdBxc2SuzXB4dXa18De8RSAZzgPzv4E7yPAskupnQHkZ6Y1C8xgwFyv6csGPvnmn1kg,2022-04-28T03:18:06Z,993dVFL2uXWYeoXuEBFXR4BijeXdTv4s6BzsCjJZuwqk,6
4977.141179,2HVn5HX2tkpNFcNs8uCSaEL8rC627bz4TUoNvyVnG9uK,5v1abPWUFpj7bgvfj7zrZDdBxc2SuzXB4dXa18De8RSAZzgPzv4E7yPAskupnQHkZ6Y1C8xgwFyv6csGPvnmn1kg,2022-04-28T03:18:06Z,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6
2.176851446,2TnwMemrTTBKb2P1EkxvkLEp6cwyLWEgyeVNRumYKNaH,rco9MGs3ieTYcethzsrJFabx6uQHxUpMJb8NJDu4hBY1xuXV6o7X93zeRJHzUv3BPg7dWi3HYPBfzUdGEg4XidX,2022-04-28T03:02:07Z,5h6ssFpeDeRbzsEHDbTQNH7nVGgsKrZydxdSTnLm6QdV,9
2.2,2TnwMemrTTBKb2P1EkxvkLEp6cwyLWEgyeVNRumYKNaH,rco9MGs3ieTYcethzsrJFabx6uQHxUpMJb8NJDu4hBY1xuXV6o7X93zeRJHzUv3BPg7dWi3HYPBfzUdGEg4XidX,2022-04-28T03:02:07Z,So11111111111111111111111111111111111111112,9
9997.332618,2w9dLyUCuy13yXMnsfCTweUMiiaggiop7TffUahfosJp,5Qo42xEjiRBxUvsw5B5m6HGSrMbw8gHthQ413FL8HD73t7bHnLi27XpwuQ3Qb3aCjXTpdkLcqWunrZ9UuUNGXgA6,2022-04-28T03:16:51Z,9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,6
9762.896364,2w9dLyUCuy13yXMnsfCTweUMiiaggiop7TffUahfosJp,5Qo42xEjiRBxUvsw5B5m6HGSrMbw8gHthQ413FL8HD73t7bHnLi27XpwuQ3Qb3aCjXTpdkLcqWunrZ9UuUNGXgA6,2022-04-28T03:16:51Z,nZtL8HKX3aQtk3VpdvtdwPpXF2uMia522Pnan2meqdf,6
12284.382678,3513gW6tJD59g5M8hYurv4Lc7FXfp8HsxBEH5drRYvMB,4ApgHMapAhqJLZP4LP3eFitGZ2yUVsxPDGeb4p2EebdVtHR1EXE4uysFRf9qokFDAGHZaS7WnQX9yzeWTudPdbHX,2022-04-28T04:23:13Z,BTsbZDV7aCMRJ3VNy9ygV4Q2UeEo9GpR8D6VvmMZzNr8,6
12780.779967,3513gW6tJD59g5M8hYurv4Lc7FXfp8HsxBEH5drRYvMB,4ApgHMapAhqJLZP4LP3eFitGZ2yUVsxPDGeb4p2EebdVtHR1EXE4uysFRf9qokFDAGHZaS7WnQX9yzeWTudPdbHX,2022-04-28T04:23:13Z,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6
3.0,3Cjg73AWsUyTiSdPtTwQHZJQZTHb3rD8dSJvPTKt3RMe,2R5yRZNq9jE753B25UNXCARXyeVPFUgGLZkSn5gAyh3PY2AiPwRCZhn1LCrkW6U3KKbwwwQfrou1TRhc1UxsMYZ5,2022-04-28T03:46:42Z,So11111111111111111111111111111111111111112,9
485.13573,3GTQg5jc6YAuPCJwYEpWHBvLbUHnndrcmubUy8z89fCa,5L4yBFtNPLWSXEXusH7NZenrKUoJfc43WuqfAma9MjJnrQne4E388QiyBV7J8xfVhjegpxdGfbcj7t1osNmLwazW,2022-04-28T02:39:12Z,993dVFL2uXWYeoXuEBFXR4BijeXdTv4s6BzsCjJZuwqk,6
